epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,359.344,0.44823,0.57845,0.34688,0.95942,0.99589,1,0.99289,0.93299,0.99589,1,0.99289,0.88813,0.40243,0.59957,0.3261,0.86907,0.0017129,0.0017129,0.0017129
31,371.302,0.4349,0.55528,0.33405,0.9506,0.99541,1,0.994,0.93629,0.99541,1,0.994,0.91231,0.39751,0.53293,0.32814,0.86477,0.001703,0.001703,0.001703
32,385.635,0.45126,0.5765,0.34396,0.96992,0.99572,1,0.994,0.93749,0.99572,1,0.994,0.89482,0.36559,0.51964,0.33452,0.85005,0.0016931,0.0016931,0.0016931
33,396.013,0.43641,0.52638,0.33825,0.94816,0.99419,1,0.99351,0.92736,0.99419,1,0.99351,0.89147,0.38358,0.55555,0.43629,0.85024,0.0016832,0.0016832,0.0016832
34,408.236,0.45638,0.57793,0.34163,0.95095,0.99567,1,0.99339,0.92167,0.99567,1,0.99339,0.90007,0.43017,0.56546,0.35715,0.87932,0.0016733,0.0016733,0.0016733
35,418.483,0.45177,0.54491,0.33954,0.963,0.99554,1,0.99205,0.93673,0.99554,1,0.99205,0.89856,0.38244,0.53106,0.34668,0.85438,0.0016634,0.0016634,0.0016634
36,430.665,0.42589,0.50933,0.31758,0.95655,0.9957,1,0.9927,0.9357,0.9957,1,0.9927,0.88764,0.36702,0.54907,0.32898,0.8458,0.0016535,0.0016535,0.0016535
37,442.398,0.42895,0.51905,0.3242,0.95387,0.99572,1,0.99174,0.93295,0.99572,1,0.99174,0.88271,0.38188,0.55948,0.31409,0.86441,0.0016436,0.0016436,0.0016436
38,452.817,0.41937,0.52581,0.3142,0.94417,0.99572,1,0.99308,0.93566,0.99572,1,0.99308,0.9099,0.36743,0.46775,0.3205,0.84935,0.0016337,0.0016337,0.0016337
39,465.225,0.41171,0.49576,0.31685,0.93793,0.99497,1,0.99193,0.92408,0.99497,1,0.99193,0.8893,0.37335,0.52328,0.33961,0.84452,0.0016238,0.0016238,0.0016238
40,475.348,0.43062,0.54064,0.3276,0.94359,0.99587,1,0.99297,0.95255,0.99587,1,0.99297,0.90777,0.34355,0.51939,0.30562,0.82894,0.0016139,0.0016139,0.0016139
41,487.827,0.42452,0.52929,0.3187,0.95457,0.99587,1,0.99374,0.94158,0.99587,1,0.99374,0.9157,0.3564,0.44302,0.30684,0.83602,0.001604,0.001604,0.001604
42,499.536,0.43118,0.53319,0.33139,0.93987,0.99589,1,0.99385,0.94369,0.99589,1,0.99385,0.89694,0.35994,0.48236,0.30368,0.83814,0.0015941,0.0015941,0.0015941
43,509.94,0.40062,0.49609,0.31765,0.93627,0.99587,1,0.99427,0.95466,0.99587,1,0.99427,0.90558,0.34042,0.48762,0.29968,0.8306,0.0015842,0.0015842,0.0015842
44,522.639,0.42036,0.56793,0.32055,0.93126,0.99556,1,0.99431,0.93815,0.99556,1,0.99431,0.91112,0.36421,0.48609,0.31076,0.84979,0.0015743,0.0015743,0.0015743
45,533.483,0.40608,0.52432,0.31398,0.93634,0.99576,1,0.99397,0.94881,0.99576,1,0.99397,0.91755,0.34396,0.47861,0.31229,0.82568,0.0015644,0.0015644,0.0015644
46,544.915,0.38689,0.50023,0.30806,0.92863,0.99594,1,0.994,0.95241,0.99594,1,0.994,0.91503,0.33281,0.47681,0.28059,0.81709,0.0015545,0.0015545,0.0015545
47,557.607,0.39844,0.48552,0.29963,0.93549,0.99216,1,0.99193,0.94599,0.99216,1,0.99193,0.90393,0.34432,0.49104,0.28943,0.8232,0.0015446,0.0015446,0.0015446
48,567.998,0.39634,0.52082,0.30611,0.92631,0.99542,1,0.99458,0.95683,0.99542,1,0.99458,0.91805,0.3281,0.46823,0.29365,0.82663,0.0015347,0.0015347,0.0015347
49,579.845,0.3929,0.49252,0.29718,0.92391,0.99587,1,0.99163,0.94933,0.99587,1,0.99163,0.91199,0.34461,0.49874,0.29892,0.83748,0.0015248,0.0015248,0.0015248
50,591.857,0.39949,0.492,0.29756,0.942,0.99584,1,0.99262,0.95009,0.99584,1,0.99262,0.91345,0.34273,0.49791,0.28784,0.83272,0.0015149,0.0015149,0.0015149
51,602.161,0.39168,0.50311,0.30018,0.93009,0.99575,1,0.9942,0.94819,0.99575,1,0.9942,0.91711,0.34974,0.49598,0.29317,0.83381,0.001505,0.001505,0.001505
52,614.226,0.40561,0.52741,0.31227,0.93888,0.9953,1,0.99308,0.95571,0.9953,1,0.99308,0.921,0.32461,0.46856,0.28766,0.81891,0.0014951,0.0014951,0.0014951
53,625.232,0.39816,0.52061,0.29326,0.94117,0.99464,1,0.99316,0.96026,0.99464,1,0.99316,0.92255,0.31353,0.46679,0.27254,0.8187,0.0014852,0.0014852,0.0014852
54,637.266,0.38905,0.53255,0.29248,0.94024,0.99592,1,0.99305,0.96163,0.99592,1,0.99305,0.91598,0.32211,0.51126,0.27373,0.82897,0.0014753,0.0014753,0.0014753
55,649.429,0.3834,0.52949,0.2968,0.93388,0.99564,1,0.99366,0.956,0.99564,1,0.99366,0.917,0.31545,0.47629,0.29367,0.82032,0.0014654,0.0014654,0.0014654
56,659.491,0.3816,0.52899,0.29389,0.93103,0.99585,1,0.99439,0.95471,0.99585,1,0.99439,0.89997,0.32544,0.52974,0.2795,0.82097,0.0014555,0.0014555,0.0014555
57,671.829,0.37639,0.50177,0.28718,0.91612,0.99577,1,0.99381,0.95235,0.99577,1,0.99381,0.89032,0.33059,0.6244,0.28472,0.82315,0.0014456,0.0014456,0.0014456
58,682.23,0.37851,0.49707,0.2897,0.92727,0.99582,1,0.99293,0.952,0.99582,1,0.99293,0.88873,0.3202,0.64834,0.26653,0.81874,0.0014357,0.0014357,0.0014357
59,693.526,0.37852,0.49067,0.28431,0.932,0.99563,1,0.99377,0.95927,0.99563,1,0.99377,0.92312,0.30524,0.46467,0.273,0.8099,0.0014258,0.0014258,0.0014258
60,705.733,0.39373,0.54376,0.28889,0.93305,0.9847,1,0.99324,0.95517,0.9847,1,0.99324,0.91225,0.31449,0.4891,0.3701,0.81874,0.0014159,0.0014159,0.0014159
61,715.553,0.38911,0.52926,0.28715,0.9341,0.99586,1,0.99404,0.9576,0.99586,1,0.99404,0.90823,0.31605,0.49197,0.27241,0.81266,0.001406,0.001406,0.001406
62,727.664,0.37064,0.47318,0.2806,0.93153,0.99592,1,0.99385,0.9646,0.99592,1,0.99385,0.92942,0.31697,0.47054,0.26057,0.80388,0.0013961,0.0013961,0.0013961
63,744.468,0.38304,0.4966,0.28399,0.92214,0.99587,1,0.99385,0.9627,0.99587,1,0.99385,0.92445,0.31122,0.45279,0.27875,0.81093,0.0013862,0.0013862,0.0013862
64,754.827,0.37559,0.4842,0.28613,0.92329,0.99565,1,0.99293,0.95981,0.99565,1,0.99293,0.92006,0.3157,0.46392,0.27753,0.82788,0.0013763,0.0013763,0.0013763
65,766.824,0.38348,0.50452,0.29333,0.93048,0.99583,1,0.99301,0.95933,0.99583,1,0.99301,0.91875,0.31597,0.47536,0.27179,0.82603,0.0013664,0.0013664,0.0013664
66,778.965,0.36422,0.46945,0.2776,0.9204,0.99545,1,0.99285,0.95209,0.99545,1,0.99285,0.90464,0.32154,0.50966,0.30171,0.82314,0.0013565,0.0013565,0.0013565
