epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1560.61,0.31398,0.41451,0.22251,0.89325,0.99596,1,0.9945,0.97475,0.99596,1,0.9945,0.94145,0.26501,0.47067,0.21031,0.79124,0.0006734,0.0006734,0.0006734
136,1571.58,0.30907,0.40327,0.21691,0.88956,0.99595,1,0.99466,0.97503,0.99595,1,0.99466,0.94249,0.26118,0.46092,0.20738,0.79293,0.0006635,0.0006635,0.0006635
137,1584.33,0.31656,0.42888,0.2245,0.90591,0.99594,1,0.99458,0.96976,0.99594,1,0.99458,0.93845,0.26778,0.44415,0.20784,0.78945,0.0006536,0.0006536,0.0006536
138,1594.96,0.30975,0.43112,0.22366,0.89285,0.99593,1,0.99454,0.972,0.99593,1,0.99454,0.93497,0.26158,0.44161,0.20322,0.7867,0.0006437,0.0006437,0.0006437
139,1606.09,0.31195,0.41542,0.22198,0.90095,0.99595,1,0.99435,0.97189,0.99595,1,0.99435,0.92978,0.259,0.45067,0.21008,0.78858,0.0006338,0.0006338,0.0006338
140,1618.48,0.32283,0.43745,0.22485,0.89779,0.99595,1,0.99412,0.97434,0.99595,1,0.99412,0.93438,0.25455,0.43657,0.20699,0.79062,0.0006239,0.0006239,0.0006239
141,1628.18,0.30613,0.40509,0.22193,0.89443,0.99595,1,0.99404,0.97063,0.99595,1,0.99404,0.92932,0.24934,0.44427,0.20253,0.79355,0.000614,0.000614,0.000614
142,1640.02,0.31455,0.41572,0.21753,0.89971,0.99595,1,0.99366,0.97037,0.99595,1,0.99366,0.93468,0.25988,0.4388,0.21175,0.79571,0.0006041,0.0006041,0.0006041
143,1651.31,0.3047,0.42017,0.21839,0.89246,0.99594,1,0.99408,0.97248,0.99594,1,0.99408,0.92753,0.25564,0.44137,0.20729,0.79509,0.0005942,0.0005942,0.0005942
144,1662.14,0.28996,0.41058,0.21075,0.89204,0.99594,1,0.9945,0.97338,0.99594,1,0.9945,0.93272,0.24974,0.43252,0.19986,0.79434,0.0005843,0.0005843,0.0005843
145,1674.44,0.30175,0.40412,0.21202,0.90201,0.99596,1,0.99366,0.97217,0.99596,1,0.99366,0.934,0.25278,0.4381,0.19571,0.79672,0.0005744,0.0005744,0.0005744
146,1684.46,0.30604,0.41838,0.21173,0.89577,0.99595,1,0.99362,0.97298,0.99595,1,0.99362,0.93454,0.24993,0.42614,0.19696,0.7938,0.0005645,0.0005645,0.0005645
147,1696.45,0.30362,0.38434,0.21338,0.89108,0.99594,1,0.99335,0.97185,0.99594,1,0.99335,0.93141,0.25228,0.43107,0.19646,0.7885,0.0005546,0.0005546,0.0005546
148,1707.86,0.308,0.42294,0.21227,0.89916,0.99587,1,0.99328,0.97407,0.99587,1,0.99328,0.93039,0.25569,0.4356,0.19751,0.78924,0.0005447,0.0005447,0.0005447
149,1718.41,0.31304,0.44175,0.21926,0.89949,0.99594,1,0.99351,0.9711,0.99594,1,0.99351,0.92415,0.26063,0.43726,0.20325,0.79444,0.0005348,0.0005348,0.0005348
150,1730.81,0.30462,0.42107,0.2125,0.88968,0.99594,1,0.99354,0.9704,0.99594,1,0.99354,0.93812,0.26794,0.4346,0.20478,0.79598,0.0005249,0.0005249,0.0005249
151,1740.54,0.29288,0.39102,0.20663,0.8909,0.99595,1,0.99385,0.97467,0.99595,1,0.99385,0.93044,0.25297,0.44744,0.20173,0.78925,0.000515,0.000515,0.000515
152,1752.55,0.29582,0.41349,0.20725,0.89723,0.99596,1,0.99397,0.97362,0.99596,1,0.99397,0.93945,0.24956,0.44187,0.19753,0.78834,0.0005051,0.0005051,0.0005051
153,1763.45,0.30022,0.39343,0.20886,0.89366,0.99596,1,0.99397,0.97683,0.99596,1,0.99397,0.937,0.24912,0.41897,0.19655,0.78984,0.0004952,0.0004952,0.0004952
154,1774.52,0.28831,0.40374,0.20587,0.8856,0.99596,1,0.99443,0.97615,0.99596,1,0.99443,0.93415,0.24968,0.41014,0.1939,0.7899,0.0004853,0.0004853,0.0004853
155,1787,0.28681,0.38632,0.20088,0.89,0.99594,1,0.99458,0.97403,0.99594,1,0.99458,0.93365,0.25116,0.41357,0.19174,0.78724,0.0004754,0.0004754,0.0004754
156,1796.68,0.30061,0.39775,0.20653,0.89264,0.99595,1,0.99462,0.97424,0.99595,1,0.99462,0.93285,0.24845,0.43511,0.18724,0.78554,0.0004655,0.0004655,0.0004655
157,1808.84,0.29315,0.40501,0.20393,0.88607,0.99595,1,0.99443,0.97501,0.99595,1,0.99443,0.93401,0.24739,0.4347,0.18768,0.78522,0.0004556,0.0004556,0.0004556
158,1819.55,0.30895,0.42134,0.20696,0.90133,0.99595,1,0.99374,0.97166,0.99595,1,0.99374,0.93584,0.25128,0.42424,0.19148,0.78749,0.0004457,0.0004457,0.0004457
159,1830.69,0.29433,0.39918,0.20064,0.8853,0.99595,1,0.99347,0.97415,0.99595,1,0.99347,0.93497,0.25227,0.42756,0.19432,0.79098,0.0004358,0.0004358,0.0004358
160,1842.82,0.28978,0.37628,0.20288,0.88708,0.99596,1,0.99366,0.9733,0.99596,1,0.99366,0.93311,0.25323,0.43538,0.19714,0.79381,0.0004259,0.0004259,0.0004259
161,1852.71,0.29017,0.38473,0.21013,0.88718,0.99595,1,0.99423,0.9735,0.99595,1,0.99423,0.933,0.2499,0.45512,0.19283,0.7914,0.000416,0.000416,0.000416
162,1864.62,0.30557,0.42331,0.21115,0.90465,0.99596,1,0.99427,0.97346,0.99596,1,0.99427,0.9341,0.24694,0.45133,0.19557,0.79155,0.0004061,0.0004061,0.0004061
163,1875.33,0.28916,0.38776,0.20368,0.88254,0.99596,1,0.99458,0.97333,0.99596,1,0.99458,0.93928,0.24779,0.42851,0.19084,0.78861,0.0003962,0.0003962,0.0003962
164,1886.67,0.30658,0.42598,0.20848,0.89364,0.99595,1,0.99473,0.97456,0.99595,1,0.99473,0.93931,0.25071,0.42268,0.18843,0.78885,0.0003863,0.0003863,0.0003863
165,1898.68,0.28978,0.40098,0.20009,0.88677,0.99596,1,0.99485,0.97356,0.99596,1,0.99485,0.94031,0.25122,0.42546,0.18912,0.79092,0.0003764,0.0003764,0.0003764
166,1909.25,0.29935,0.41087,0.20679,0.89396,0.99596,1,0.99481,0.97052,0.99596,1,0.99481,0.93838,0.25297,0.44181,0.19121,0.79367,0.0003665,0.0003665,0.0003665
167,1921.14,0.29622,0.3874,0.20465,0.89132,0.99596,1,0.99477,0.97593,0.99596,1,0.99477,0.93612,0.24578,0.4402,0.1956,0.7899,0.0003566,0.0003566,0.0003566
168,1932.9,0.30548,0.41788,0.20776,0.88784,0.99596,1,0.99477,0.97764,0.99596,1,0.99477,0.94296,0.24299,0.43875,0.19234,0.78874,0.0003467,0.0003467,0.0003467
169,1943.79,0.29526,0.40163,0.20343,0.89547,0.99596,1,0.99469,0.9787,0.99596,1,0.99469,0.94324,0.23754,0.43495,0.18851,0.78829,0.0003368,0.0003368,0.0003368
170,1956.12,0.29184,0.39456,0.20434,0.89264,0.99596,1,0.99404,0.97627,0.99596,1,0.99404,0.93887,0.24015,0.42898,0.18725,0.78871,0.0003269,0.0003269,0.0003269
171,1966.95,0.29274,0.38757,0.19908,0.89575,0.99596,1,0.99389,0.97644,0.99596,1,0.99389,0.94218,0.23952,0.41897,0.1862,0.79043,0.000317,0.000317,0.000317
172,1978.19,0.28327,0.41353,0.19712,0.88916,0.99596,1,0.99454,0.97755,0.99596,1,0.99454,0.94024,0.24286,0.4287,0.1846,0.79184,0.0003071,0.0003071,0.0003071
173,1990.52,0.28625,0.40743,0.19729,0.89382,0.99596,1,0.99454,0.97814,0.99596,1,0.99454,0.93792,0.23611,0.43645,0.18224,0.79144,0.0002972,0.0002972,0.0002972
174,2000.34,0.29027,0.38073,0.20065,0.88999,0.99596,1,0.99454,0.97818,0.99596,1,0.99454,0.94072,0.24068,0.43526,0.18323,0.79063,0.0002873,0.0002873,0.0002873
175,2012.77,0.29285,0.3931,0.19746,0.88713,0.99596,1,0.9945,0.98001,0.99596,1,0.9945,0.93924,0.23978,0.43656,0.18514,0.78968,0.0002774,0.0002774,0.0002774
176,2023.31,0.28657,0.38836,0.196,0.88504,0.99595,1,0.99443,0.97876,0.99595,1,0.99443,0.93937,0.23771,0.43644,0.18631,0.79112,0.0002675,0.0002675,0.0002675
177,2034.87,0.29774,0.43213,0.19695,0.88873,0.99596,1,0.99435,0.97649,0.99596,1,0.99435,0.93937,0.23871,0.43465,0.18465,0.79208,0.0002576,0.0002576,0.0002576
178,2047,0.28164,0.40286,0.19439,0.88219,0.99596,1,0.99427,0.97659,0.99596,1,0.99427,0.94098,0.2414,0.43129,0.18759,0.79359,0.0002477,0.0002477,0.0002477
179,2057.17,0.27888,0.38166,0.19245,0.88736,0.99596,1,0.99423,0.97805,0.99596,1,0.99423,0.93826,0.23511,0.43093,0.18426,0.79484,0.0002378,0.0002378,0.0002378
180,2069.35,0.28511,0.41061,0.1949,0.88629,0.99595,1,0.99412,0.97794,0.99595,1,0.99412,0.93861,0.23128,0.43242,0.18257,0.7922,0.0002279,0.0002279,0.0002279
181,2080.12,0.27231,0.39566,0.19036,0.88352,0.99596,1,0.99427,0.97775,0.99596,1,0.99427,0.93751,0.23082,0.43687,0.18498,0.79004,0.000218,0.000218,0.000218
182,2091.58,0.28245,0.4023,0.19704,0.88192,0.99596,1,0.99439,0.97716,0.99596,1,0.99439,0.94067,0.23265,0.4367,0.18721,0.78666,0.0002081,0.0002081,0.0002081
183,2104.2,0.28168,0.39319,0.19324,0.8891,0.99596,1,0.99446,0.97905,0.99596,1,0.99446,0.94057,0.23236,0.43204,0.17869,0.78539,0.0001982,0.0001982,0.0001982
184,2114.17,0.27648,0.40063,0.18954,0.87869,0.99596,1,0.99454,0.97941,0.99596,1,0.99454,0.93891,0.22988,0.42792,0.17625,0.78479,0.0001883,0.0001883,0.0001883
185,2126.55,0.28668,0.38594,0.19306,0.89189,0.99596,1,0.99454,0.97989,0.99596,1,0.99454,0.93514,0.22818,0.41868,0.17645,0.78579,0.0001784,0.0001784,0.0001784
186,2137.91,0.28741,0.39696,0.19165,0.89058,0.99596,1,0.99443,0.97951,0.99596,1,0.99443,0.93715,0.23261,0.41802,0.17647,0.78748,0.0001685,0.0001685,0.0001685
187,2148.98,0.28513,0.38688,0.19282,0.887,0.99595,1,0.99431,0.97882,0.99595,1,0.99431,0.93609,0.23344,0.42702,0.17526,0.7859,0.0001586,0.0001586,0.0001586
188,2161.53,0.27718,0.38474,0.18856,0.88107,0.99595,1,0.99439,0.97822,0.99595,1,0.99439,0.93799,0.23357,0.43784,0.1788,0.78216,0.0001487,0.0001487,0.0001487
189,2171.54,0.27652,0.37595,0.18669,0.88135,0.99595,1,0.99443,0.97809,0.99595,1,0.99443,0.93939,0.2353,0.44302,0.17762,0.7823,0.0001388,0.0001388,0.0001388
190,2183.66,0.27651,0.3897,0.18816,0.88679,0.99595,1,0.99446,0.97767,0.99595,1,0.99446,0.93585,0.23438,0.44639,0.17919,0.78189,0.0001289,0.0001289,0.0001289
191,2196.86,0.23209,0.30283,0.19298,0.85774,0.99593,1,0.99381,0.97858,0.99593,1,0.99381,0.93493,0.23316,0.44791,0.17874,0.7842,0.000119,0.000119,0.000119
192,2207.23,0.21811,0.27824,0.17948,0.84495,0.99593,1,0.99397,0.97679,0.99593,1,0.99397,0.93416,0.2355,0.44891,0.17926,0.78612,0.0001091,0.0001091,0.0001091
193,2219.11,0.21312,0.28772,0.17809,0.82791,0.99589,1,0.99435,0.97538,0.99589,1,0.99435,0.93235,0.23223,0.4508,0.17876,0.78673,9.92e-05,9.92e-05,9.92e-05
194,2228.73,0.22575,0.30047,0.18372,0.85143,0.99591,1,0.99431,0.97364,0.99591,1,0.99431,0.92983,0.23146,0.45168,0.17984,0.78781,8.93e-05,8.93e-05,8.93e-05
195,2240.77,0.22037,0.29724,0.17686,0.83354,0.99595,1,0.99423,0.97516,0.99595,1,0.99423,0.93403,0.23229,0.44883,0.17684,0.78907,7.94e-05,7.94e-05,7.94e-05
196,2251.14,0.21449,0.28425,0.17649,0.83998,0.99596,1,0.99412,0.9756,0.99596,1,0.99412,0.93565,0.23393,0.44786,0.17742,0.7901,6.95e-05,6.95e-05,6.95e-05
197,2262.43,0.22282,0.28765,0.17953,0.85295,0.99596,1,0.99408,0.97609,0.99596,1,0.99408,0.93566,0.23374,0.44719,0.17732,0.78942,5.96e-05,5.96e-05,5.96e-05
198,2273.65,0.21314,0.27615,0.17142,0.83435,0.99596,1,0.99389,0.97684,0.99596,1,0.99389,0.93699,0.23365,0.44803,0.1762,0.78911,4.97e-05,4.97e-05,4.97e-05
199,2284.02,0.21556,0.28117,0.17488,0.84623,0.99596,1,0.9937,0.97702,0.99596,1,0.9937,0.93772,0.23116,0.44685,0.17523,0.78829,3.98e-05,3.98e-05,3.98e-05
200,2295.75,0.21818,0.29814,0.18157,0.84679,0.99596,1,0.99377,0.97695,0.99596,1,0.99377,0.93838,0.23024,0.4457,0.175,0.78837,2.99e-05,2.99e-05,2.99e-05
